Summary,,,,,,,,,,,,,,,,,,,,,,,,
Bin Size,15 minutes,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,America/Toronto,,,,,,,,,,,,,,,,,,,,,,,
Start Time,1/1/2020 0:00,,,,,,,,,,,,,,,,,,,,,,,
End Time,2/29/2020 23:59,,,,,,,,,,,,,,,,,,,,,,,
Location,Dorchester Road and Huron Church Road,,,,,,,,,,,,,,,,,,,,,,,
Latitude and Longitude,"42.28767533,-83.05818746",,,,,,,,,,,,,,,,,,,,,,,
Lights,,,,,,,,,,,,,,,,,,,,,,,,
Entry,North,,,,,,East,,,,,,South,,,,,,West,,,,,
Direction,Southbound,,,,,,Westbound,,,,,,Northbound,,,,,,Eastbound,,,,,
Start Time,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW
1/1/2020 13:45,1,106,5,0,0,0,4,2,9,0,0,0,9,137,3,0,0,0,2,1,0,0,0,0
1/1/2020 14:00,2,81,5,0,0,0,2,3,6,0,0,0,4,171,4,0,0,0,9,9,0,0,0,0
1/1/2020 14:15,5,105,2,0,0,0,3,7,10,0,0,0,15,140,3,0,0,0,9,2,4,0,0,0
1/1/2020 14:30,1,107,4,0,0,0,3,1,20,0,0,0,15,151,2,0,0,0,4,1,1,0,0,0
1/1/2020 14:45,3,123,3,0,0,0,6,3,7,0,0,0,10,124,0,0,0,0,7,2,1,0,0,0
1/1/2020 15:00,2,107,5,0,0,0,6,4,4,0,0,0,6,130,2,0,0,0,0,2,0,0,0,0
1/1/2020 15:15,1,132,7,0,0,0,3,4,10,0,0,0,6,118,4,0,0,0,4,4,0,0,0,0
1/1/2020 15:30,3,116,5,0,0,0,5,2,7,0,0,0,6,140,1,0,0,0,2,5,0,0,0,0
1/1/2020 15:45,4,118,5,0,0,0,2,3,10,0,0,0,9,136,2,0,0,0,5,1,0,0,0,0
1/1/2020 16:00,3,113,6,0,0,0,6,1,12,0,0,0,9,138,2,0,0,0,8,3,1,0,0,0
1/1/2020 16:15,8,114,5,0,0,0,5,2,12,0,0,0,9,136,3,0,0,0,7,2,2,0,0,0
1/1/2020 16:30,3,50,5,0,0,0,2,7,11,0,0,0,6,110,1,0,0,0,0,10,2,0,0,0
1/1/2020 16:45,1,90,6,0,0,0,1,2,6,0,0,0,8,155,1,0,0,0,13,2,0,0,0,0
