Summary,,,,,,,,,,,,,,,,,,,,,,,,
Bin Size,15 minutes,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,America/Toronto,,,,,,,,,,,,,,,,,,,,,,,
Start Time,1/1/2020 0:00,,,,,,,,,,,,,,,,,,,,,,,
End Time,2/29/2020 23:59,,,,,,,,,,,,,,,,,,,,,,,
Location,Malden Road and Huron Church Road,,,,,,,,,,,,,,,,,,,,,,,
Latitude and Longitude,"42.28262976,-83.05514523",,,,,,,,,,,,,,,,,,,,,,,
Lights,,,,,,,,,,,,,,,,,,,,,,,,
Entry,North,,,,,,East,,,,,,South,,,,,,West,,,,,
Direction,Southbound,,,,,,Westbound,,,,,,Northbound,,,,,,Eastbound,,,,,
Start Time,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW
1/1/2020 3:45,7,31,6,0,0,0,5,0,5,0,0,0,0,29,3,0,0,0,0,2,3,0,0,0
1/1/2020 4:00,8,25,4,0,0,0,3,0,2,0,0,0,0,35,1,0,0,0,1,0,3,0,0,0
1/1/2020 4:15,6,21,3,0,0,0,6,0,1,0,0,0,0,19,2,0,0,0,1,0,5,0,0,0
1/1/2020 4:30,7,15,3,0,0,0,0,1,0,0,0,0,4,23,2,0,0,0,1,1,6,0,0,0
1/1/2020 4:45,5,16,1,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,1,2,2,0,0,0
1/1/2020 5:00,4,16,0,0,0,0,1,1,0,0,0,0,0,20,3,0,0,0,5,1,5,0,0,0
1/1/2020 5:15,5,11,0,0,0,0,1,2,2,0,0,0,0,16,2,0,0,0,2,0,4,0,0,0
1/1/2020 5:30,2,18,2,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,1,2,1,0,0,0
1/1/2020 5:45,1,20,1,0,0,0,0,0,2,0,0,0,1,22,1,0,0,0,3,1,2,0,0,0
1/1/2020 6:00,1,10,1,0,0,0,0,1,1,0,0,0,0,38,3,0,0,0,1,0,6,0,0,0
1/1/2020 6:15,3,13,0,0,0,0,1,1,1,0,0,0,0,43,4,0,0,0,4,0,4,0,0,0
1/1/2020 6:30,3,23,0,0,0,0,0,2,0,0,0,0,0,46,3,0,0,0,4,0,7,0,0,0
1/1/2020 6:45,2,23,0,0,0,0,1,1,1,0,0,0,1,35,1,0,0,0,2,0,3,0,0,0
1/1/2020 7:00,6,33,0,0,0,0,1,0,2,0,0,0,1,35,2,0,0,0,3,1,1,0,0,0
1/1/2020 7:15,5,21,0,0,0,0,1,1,3,0,0,0,0,42,4,0,0,0,4,1,2,0,0,0
1/1/2020 7:30,2,23,0,0,0,0,1,1,0,0,0,0,1,30,1,0,0,0,6,1,6,0,0,0
1/1/2020 7:45,5,34,0,0,0,0,0,0,1,0,0,0,0,45,1,0,0,0,1,1,4,0,0,0
1/1/2020 8:00,4,31,0,0,0,0,0,4,3,0,0,0,3,31,1,0,0,0,1,1,4,0,0,0
1/1/2020 8:15,5,31,2,0,0,0,0,3,0,0,0,0,1,48,1,0,0,0,1,1,4,0,0,0
1/1/2020 8:30,5,35,0,0,0,0,1,2,2,0,0,0,2,46,2,0,0,0,1,1,3,0,0,0
1/1/2020 8:45,5,35,2,0,0,0,0,2,4,0,0,0,2,49,5,0,0,0,4,1,14,0,0,0
1/1/2020 9:00,7,31,0,0,0,0,1,1,2,0,0,0,0,54,4,0,0,0,2,2,8,0,0,0
1/1/2020 9:15,3,33,1,0,0,0,0,0,0,0,0,0,0,88,6,0,0,0,1,4,10,0,0,0
1/1/2020 9:30,8,35,1,0,0,0,1,1,4,0,0,0,1,64,1,0,0,0,0,2,11,0,0,0
1/1/2020 9:45,7,43,4,0,0,0,3,1,5,0,0,0,1,90,5,0,0,0,2,4,10,0,0,0
1/1/2020 10:00,6,58,1,0,0,0,1,2,7,0,0,0,0,88,7,0,0,0,0,2,11,0,0,0
1/1/2020 10:15,4,49,0,0,0,0,1,1,5,0,0,0,1,110,5,0,0,0,2,5,12,0,0,0
1/1/2020 10:30,7,64,3,0,0,0,2,1,8,0,0,0,1,102,9,0,0,0,3,6,24,0,0,0
1/1/2020 10:45,9,70,2,0,0,0,4,5,11,0,0,0,4,133,7,0,0,0,5,7,27,0,0,0
1/1/2020 11:00,6,93,2,0,0,0,9,7,4,0,0,0,2,156,4,0,0,0,8,0,30,0,0,0
1/1/2020 11:15,6,80,4,0,0,0,4,6,6,0,0,0,2,136,8,0,0,0,2,9,21,0,0,0
1/1/2020 11:30,9,86,1,0,0,0,6,4,10,0,0,0,3,141,8,0,0,0,4,2,17,0,0,0
1/1/2020 11:45,9,105,2,0,0,0,4,6,11,0,0,0,2,124,3,0,0,0,3,8,23,0,0,0
1/1/2020 12:00,17,104,5,0,0,0,1,6,3,0,0,0,2,131,6,0,0,0,5,6,19,0,0,0
1/1/2020 12:15,21,114,3,0,0,0,6,11,5,0,0,0,4,120,6,0,0,0,8,6,23,0,0,0
1/1/2020 12:30,18,96,2,0,0,0,4,13,14,0,0,0,9,138,8,0,0,0,2,7,21,0,0,0
1/1/2020 12:45,12,134,4,0,0,0,0,10,10,0,0,0,4,135,3,0,0,0,2,8,18,0,0,0
1/1/2020 13:00,13,119,2,0,0,0,4,7,7,0,0,0,2,129,10,0,0,0,1,4,17,0,0,0
1/1/2020 13:15,17,125,3,0,0,0,3,8,5,0,0,0,2,146,9,0,0,0,5,5,25,0,0,0
1/1/2020 13:30,16,123,5,0,0,0,3,6,7,0,0,0,5,143,6,0,0,0,7,6,14,0,0,0
1/1/2020 13:45,20,123,5,0,0,0,7,6,8,0,0,0,5,129,5,0,0,0,11,13,16,0,0,0
1/1/2020 14:00,13,101,4,0,0,0,3,9,5,0,0,0,8,172,2,0,0,0,6,9,16,0,0,0
1/1/2020 14:15,15,125,7,0,0,0,0,10,5,0,0,0,6,173,7,0,0,0,12,4,14,0,0,0
1/1/2020 14:30,17,136,2,0,0,0,6,7,5,0,0,0,4,152,3,0,0,0,7,8,17,0,0,0
1/1/2020 14:45,27,129,3,0,0,0,2,6,11,0,0,0,8,146,10,0,0,0,6,10,16,0,0,0
1/1/2020 15:00,23,119,5,0,0,0,2,7,5,0,0,0,3,120,4,0,0,0,3,8,10,0,0,0
1/1/2020 15:15,21,135,8,0,0,0,1,8,7,0,0,0,2,125,6,0,0,0,3,8,21,0,0,0
